tcp,udp,tcp_var,udp_var,tcp_std,udp_std,tcp_entropy,udp_entropy,hurst_tcp,hurst_udp,skewness_tcp,kurtosis_tcp,skewness_udp,kurtosis_udp,burst,h2_pkt,h3_pkt,h2_bytes,h3_bytes,utr,utr_std,attack
432,0,16796.16,0,129.6,0,0.3251,0,0.52,0.52,2.6667,5.1111,0,-3,0,0,0,0,0,0,0,0
968,0,10159.76,0,100.7956,0,1.6094,0,0.52,0.52,0.4226,-1.4488,0,-3,1.76,0,0,0,0,0,0,0
884,0,144.44,0,12.0183,0,1.6957,0,0.52,0.52,-0.0582,-1.3285,0,-3,1.76,0,0,0,0,0,0,0
869,0,111.69,0,10.5683,0,1.6957,0,0.52,0.52,0.1422,-0.9551,0,-3,39.1,0,0,0,0,0,0,0
870,0,19,0,4.3589,0,0.9433,0,0.4541,0.52,-2.6081,4.9307,0,-3,39.1,0,0,0,0,0,0,0
881,0,135.29,0,11.6314,0,1.6434,0,0.4541,0.52,-0.02,-1.3255,0,-3,52.9,0,0,0,0,0,0,0
850,0,33.4,0,5.7793,0,1.3592,0,0.4541,0.52,-1.4734,0.2334,0,-3,52.9,0,0,0,0,0,0,0
866,0,17.64,0,4.2,0,0.3251,0,0.4541,0.52,-2.6667,5.1111,0,-3,53.2,0,0,0,0,0,0,0
879,0,0.09,0,0.3,0,0.3251,0,0.4541,0.52,-2.6667,5.1111,0,-3,53.2,0,0,0,0,0,0,0
878,0,87.16,0,9.336,0,1.3592,0,0.4541,0.52,-0.0134,-0.499,0,-3,52.8,0,0,0,0,0,0,0
895,0,65.45,0,8.0901,0,1.3592,0,0.4541,0.52,0.0748,0.2825,0,-3,52.8,0,0,0,0,0,0,0
894,0,65.64,0,8.1019,0,1.0889,0,0.4541,0.52,0.1109,0.2682,0,-3,53.4,0,0,0,0,0,0,0
909,0,36.69,0,6.0572,0,0.8018,0,0.4541,0.52,1.4908,0.2387,0,-3,53.4,0,0,0,0,0,0,0
894,0,17.64,0,4.2,0,0.3251,0,0.4541,0.52,2.6667,5.1111,0,-3,52.8,0,0,0,0,0,0,0
910,0,36.2,0,6.0166,0,1.0889,0,0.1569,0.52,1.4793,0.2226,0,-3,52.8,0,0,0,0,0,0,0
879,0,42.09,0,6.4877,0,0.639,0,0.1569,0.52,-0.1848,2.0133,0,-3,52.8,0,0,0,0,0,0,0
894,0,104.84,0,10.2391,0,1.4708,0,0.1569,0.52,-0.2158,-0.9137,0,-3,52.8,0,0,0,0,0,0,0
880,0,0.6,0,0.7746,0,1.0889,0,0.1569,0.52,0,-1.3333,0,-3,53.4,0,0,0,0,0,0,0
894,0,56.84,0,7.5392,0,0.8018,0,0.1569,0.52,0.0768,0.302,0,-3,53.4,0,0,0,0,0,0,0
879,0,0.09,0,0.3,0,0.3251,0,0.1569,0.52,-2.6667,5.1111,0,-3,52.8,0,0,0,0,0,0,0
880,0,0,0,0,0,0,0,0.1569,0.52,0,-3,0,-3,52.8,0,0,0,0,0,0,0
880,0,0,0,0,0,0,0,0.1569,0.52,0,-3,0,-3,52.9,0,0,0,0,0,0,0
879,0,45.09,0,6.7149,0,0.9404,0,0.1569,0.52,0.0443,1.9814,0,-3,52.9,0,0,0,0,0,0,0
894,0,107.64,0,10.375,0,1.2206,0,0.1569,0.52,-0.1616,-0.9431,0,-3,53.2,0,0,0,0,0,0,0
865,0,65.25,0,8.0777,0,0.8018,0,0.1144,0.52,-0.0768,0.302,0,-3,53.2,0,0,0,0,0,0,0
880,0,45,0,6.7082,0,0.639,0,0.1144,0.52,0,2,0,-3,52.8,0,0,0,0,0,0,0
879,0,90.09,0,9.4916,0,1.2206,0,0.1144,0.52,0.0315,-0.5043,0,-3,52.8,0,0,0,0,0,0,0
894,0,62.64,0,7.9145,0,0.9404,0,0.1144,0.52,0.0173,0.3585,0,-3,53.1,0,0,0,0,0,0,0
865,0,143.65,0,11.9854,0,1.5571,0,0.1144,0.52,0.1814,-1.5228,0,-3,53.1,0,0,0,0,0,0,0
880,0,0,0,0,0,0,0,0.1144,0.52,0,-3,0,-3,53.1,0,0,0,0,0,0,0
879,0,45.29,0,6.7298,0,1.3592,0,0.1144,0.52,0.0443,1.9376,0,-3,53.1,0,0,0,0,0,0,0
865,0,20.25,0,4.5,0,0.3251,0,0.1144,0.52,-2.6667,5.1111,0,-3,52.8,0,0,0,0,0,0,0
880,0,135,0,11.619,0,1.0889,0,0.1144,0.52,0,-1.3333,0,-3,52.8,0,0,0,0,0,0,0
879,0,45.09,0,6.7149,0,0.9404,0,0.1144,0.52,0.0443,1.9814,0,-3,53.1,0,0,0,0,0,0,0
880,0,0,0,0,0,0,0,0.0081,0.52,0,-3,0,-3,53.1,0,0,0,0,0,0,0
865,0,65.25,0,8.0777,0,0.8018,0,0.0081,0.52,-0.0768,0.302,0,-3,53.1,0,0,0,0,0,0,0
425,0,1824.25,0,42.7112,0,0.9433,0,0.0081,0.52,0.0274,-1.9687,0,-3,53.1,0,0,0,0,0,0,0
734,0,1515.64,0,38.9312,0,1.5571,0,0.0081,0.52,-1.0863,-0.2279,0,-3,52.8,38,0,103868,0,0,0,0
1494,0,1846.84,0,42.9749,0,2.164,0,0.0081,0.52,0.0943,-1.0485,0,-3,52.8,292,0,931512,0,0,0,0
1421,0,1098.89,0,33.1495,0,2.0253,0,0.0081,0.52,0.6019,-0.2056,0,-3,52.6,684,0,7444424,0,0,0,0
1565,0,1370.25,0,37.0169,0,2.3026,0,0.0081,0.52,-0.5483,-0.8584,0,-3,52.6,1119,0,17009662,0,0,0,0
1699,0,827.29,0,28.7626,0,2.164,0,0.0081,0.52,0.2828,-0.9059,0,-3,39.5,1718,0,30004452,0,0,0,0
2060,0,751.2,0,27.408,0,2.0253,0,0.0081,0.52,-0.0516,-1.1448,0,-3,39.5,2211,0,40687030,0,0,0,0
2225,0,345.45,0,18.5863,0,2.0253,0,0.0081,0.52,0.0301,-0.8387,0,-3,33.7,2753,0,52463184,0,0,0,0
2228,0,431.36,0,20.7692,0,2.0253,0,0.355,0.52,-0.2369,-1.0745,0,-3,33.7,3351,0,65447776,0,0,0,0
2044,0,653.44,0,25.5625,0,2.0253,0,0.355,0.52,0.4307,-1.0823,0,-3,31.9,3986,0,79761170,0,0,0,0
1841,0,104.69,0,10.2318,0,1.6094,0,0.355,0.52,0.9902,-0.2045,0,-3,31.9,4472,0,95528664,0,0,0,0
1853,0,52.01,0,7.2118,0,1.5571,0,0.355,0.52,-0.3976,-1.8119,0,-3,31.7,4903,0,109567960,0,0,0,0
1822,0,46.16,0,6.7941,0,1.3322,0,0.355,0.52,0.4059,-1.8137,0,-3,31.7,5311,0,122857120,0,0,0,0
1849,0,56.49,0,7.516,0,1.5048,0,0.355,0.52,-0.3786,-1.8017,0,-3,27.2,5761,0,137513070,0,0,0,0
1836,0,49.64,0,7.0456,0,1.6434,0,0.355,0.52,0.0012,-1.9489,0,-3,27.2,6276,0,154293180,0,0,0,0
661,0,7100.49,0,84.2644,0,1.2275,0,0.355,0.52,0.5975,-1.5037,0,-3,28.6,6782,0,170812050,0,0,0,0
1893,0,434.81,0,20.8521,0,1.3592,0,0.355,0.52,2.1016,3.3627,0,-3,28.6,7193,0,184231730,0,0,0,0
1850,0,96.4,0,9.8184,0,1.6434,0,0.355,0.52,0.5591,-0.8471,0,-3,29.5,7604,0,197647070,0,0,0,0
1837,0,48.01,0,6.9289,0,1.4185,0,0.5078,0.52,0.0154,-1.9637,0,-3,29.5,8075,0,213025500,0,0,0,0
1160,0,7153,0,84.5754,0,1.8344,0,0.5078,0.52,-0.4881,-1.6529,0,-3,26.3,8589,0,229805550,0,0,0,0
1365,0,8568.85,0,92.5681,0,1.6957,0,0.5078,0.52,-0.6171,-1.1767,0,-3,26.3,9076,0,245636820,0,0,0,0
1836,0,58.24,0,7.6315,0,1.6957,0,0.5078,0.52,0.0039,-1.9679,0,-3,31.6,9488,0,259056560,0,0,0,0
1834,0,49.64,0,7.0456,0,1.6434,0,0.5078,0.52,-0.0012,-1.9489,0,-3,31.6,9900,0,272506720,0,0,0,0
1848,0,94.16,0,9.7036,0,1.8344,0,0.5078,0.52,0.6211,-0.7099,0,-3,25.2,10391,0,288533730,0,0,0,0
1836,0,55.24,0,7.4324,0,1.6957,0,0.5078,0.52,-0.0045,-1.9648,0,-3,25.2,10905,0,305313760,0,0,0,0
1851,0,100.49,0,10.0245,0,1.6434,0,0.5078,0.52,0.6206,-0.7027,0,-3,30.4,11373,0,320592100,0,0,0,0
1833,0,53.81,0,7.3355,0,1.5571,0,0.5078,0.52,-0.0156,-1.9619,0,-3,30.4,11785,0,334011840,0,0,0,0
1819,0,52.49,0,7.245,0,1.4185,0,0.5078,0.52,0.4009,-1.818,0,-3,27.7,12193,0,347296670,0,0,0,0
1833,0,50.81,0,7.1281,0,1.5571,0,0.7197,0.52,-0.0095,-1.9676,0,-3,27.7,12706,0,364046240,0,0,0,0
1834,0,52.24,0,7.2277,0,1.4185,0,0.7197,0.52,0.0144,-1.9677,0,-3,28.1,13220,0,380826270,0,0,0,0
1850,0,51.4,0,7.1694,0,1.5048,0,0.7197,0.52,-0.3957,-1.8146,0,-3,28.1,13662,0,395255800,0,0,0,0
1835,0,56.65,0,7.5266,0,1.2206,0,0.7197,0.52,0.0211,-1.9719,0,-3,30,14073,0,408671140,0,0,0,0
1833,0,50.61,0,7.1141,0,1.2799,0,0.7197,0.52,0.0026,-1.9845,0,-3,30,14505,0,422774200,0,0,0,0
1848,0,94.16,0,9.7036,0,1.6957,0,0.7197,0.52,0.759,-0.3575,0,-3,25.8,15019,0,439554240,0,0,0,0
1834,0,100.24,0,10.012,0,1.6957,0,0.7197,0.52,0.8896,-0.5075,0,-3,25.8,15535,0,456304030,0,0,0,0
1849,0,50.29,0,7.0915,0,1.5048,0,0.7197,0.52,-0.392,-1.8115,0,-3,31.6,15948,0,469784640,0,0,0,0
734,0,7257.44,0,85.1906,0,1.4979,0,0.7197,0.52,0.434,-1.719,0,-3,31.6,16359,0,483204320,0,0,0,0
1834,0,58.24,0,7.6315,0,1.6957,0,0.7197,0.52,-0.0039,-1.9679,0,-3,25.7,16821,0,498286800,0,0,0,0
1834,0,52.24,0,7.2277,0,1.5571,0,0.5884,0.52,-0.0094,-1.969,0,-3,25.7,17335,0,515066800,0,0,0,0
1614,0,3061.84,0,55.3339,0,1.8344,0,0.5884,0.52,-2.4162,4.273,0,-3,29.9,17823,0,530998080,0,0,0,0
514,1,6180.64,0.09,78.617,0.3,0.9404,0.3251,0.5884,0.52,0.8812,-1.2119,2.6667,5.1111,29.9,18233,0,544348160,0,0.0019,0.0019,0
1848,0,97.16,0,9.857,0,1.8867,0,0.5884,0.52,0.5757,-0.8071,0,-3,28.2,18645,0,557767940,0,0,0,0
1848,0,97.16,0,9.857,0,1.4708,0,0.5884,0.52,0.585,-0.812,0,-3,28.2,19137,0,573811700,0,0,0,0
1777,0,458.21,0,21.4058,0,1.6957,0,0.5884,0.52,-2.1588,3.5424,0,-3,27.7,19653,0,590609900,0,0,0,0
1114,0,8335.24,0,91.2975,0,1.4708,0,0.5884,0.52,-0.3852,-1.8196,0,-3,27.7,20118,0,605788160,0,0,0,0
1834,0,97.24,0,9.861,0,1.5571,0,0.5884,0.52,0.9255,-0.3878,0,-3,30.4,20529,0,619207800,0,0,0,0
1832,0,52.16,0,7.2222,0,1.5048,0,0.5884,0.52,-0.0045,-1.9753,0,-3,30.4,20938,0,632557900,0,0,0,0
1847,0,51.01,0,7.1421,0,1.6094,0,0.5884,0.52,-0.3985,-1.7933,0,-3,25.4,21452,0,649337900,0,0,0,0
968,0,8404.96,0,91.6786,0,1.7481,0,0.2782,0.3986,-0.0019,-1.9464,0,-3,25.4,21966,0,666117950,0,0,0,0
1865,0,84.05,0,9.1679,0,1.6957,0,0.2782,0.3986,0.3477,-0.723,0,-3,31.6,22401,0,680256000,0,0,0,0
1820,0,51.4,0,7.1694,0,1.5048,0,0.2782,0.3986,0.3957,-1.8146,0,-3,31.6,22816,0,693801900,0,0,0,0
1848,0,54.76,0,7.4,0,1.1683,0,0.2782,0.3986,-0.408,-1.8217,0,-3,26.2,23255,0,708070500,0,0,0,0
1848,0,52.16,0,7.2222,0,1.3322,0,0.2782,0.3986,-0.4239,-1.7789,0,-3,26.2,23769,0,724850560,0,0,0,0
1834,0,55.24,0,7.4324,0,1.6957,0,0.2782,0.3986,0.0045,-1.9648,0,-3,29.4,24278,0,741465200,0,0,0,0
1849,0,89.69,0,9.4705,0,1.8344,0,0.2782,0.3986,0.6835,-0.5794,0,-3,29.4,24694,0,755045950,0,0,0,0
1834,0,61.24,0,7.8256,0,1.5571,0,0.2782,0.3986,0.0076,-1.9744,0,-3,28.7,25109,0,768596160,0,0,0,0
1834,0,52.04,0,7.2139,0,1.2799,0,0.2782,0.3986,0.0024,-1.9854,0,-3,28.7,25570,0,783578700,0,0,0,0
1849,0,53.29,0,7.3,0,1.6957,0,0.2782,0.3986,-0.4034,-1.7993,0,-3,27.3,26085,0,800358800,0,0,0,0
1834,0,52.44,0,7.2415,0,1.4708,0,0.2442,0.52,0.0011,-1.9578,0,-3,27.3,26574,0,816324860,0,0,0,0
1834,0,52.24,0,7.2277,0,1.5571,0,0.2442,0.52,-0.0094,-1.969,0,-3,30.8,26985,0,829740160,0,0,0,0
1833,0,53.81,0,7.3355,0,1.6434,0,0.2442,0.52,0.0072,-1.9594,0,-3,30.8,27400,0,843290430,0,0,0,0
1848,0,99.96,0,9.998,0,1.6094,0,0.2442,0.52,0.6758,-0.5897,0,-3,25.2,27884,0,859091100,0,0,0,0
1821,0,53.29,0,7.3,0,1.6957,0,0.2442,0.52,0.4034,-1.7993,0,-3,25.2,28398,0,875871170,0,0,0,0
1850,0,93.4,0,9.6644,0,1.6094,0,0.2442,0.52,0.6062,-0.7537,0,-3,31.2,28869,0,891245250,0,0,0,0
